x,y,z,gradx,grady
-0.490000,-0.490000,0,0.501409,-6.768013
-0.490000,-0.480000,0,0.359058,-6.906016
-0.490000,-0.470000,0,0.207906,-7.043647
-0.490000,-0.460000,0,0.047609,-7.180504
-0.490000,-0.450000,0,-0.122169,-7.316147
-0.490000,-0.440000,0,-0.301759,-7.450094
-0.490000,-0.430000,0,-0.491479,-7.581820
-0.490000,-0.420000,0,-0.691632,-7.710753
-0.490000,-0.410000,0,-0.902503,-7.836276
-0.490000,-0.400000,0,-1.124350,-7.957723
-0.490000,-0.390000,0,-1.357405,-8.074379
-0.490000,-0.380000,0,-1.601865,-8.185479
-0.490000,-0.370000,0,-1.857884,-8.290207
-0.490000,-0.360000,0,-2.125571,-8.387698
-0.490000,-0.350000,0,-2.404981,-8.477039
-0.490000,-0.340000,0,-2.696108,-8.557268
-0.490000,-0.330000,0,-2.998877,-8.627380
-0.490000,-0.320000,0,-3.313138,-8.686329
-0.490000,-0.310000,0,-3.638656,-8.733032
-0.490000,-0.300000,0,-3.975105,-8.766374
-0.490000,-0.290000,0,-4.322057,-8.785217
-0.490000,-0.280000,0,-4.678981,-8.788406
-0.490000,-0.270000,0,-5.045227,-8.774781
-0.490000,-0.260000,0,-5.420029,-8.743182
-0.490000,-0.250000,0,-5.802492,-8.692468
-0.490000,-0.240000,0,-6.191591,-8.621526
-0.490000,-0.230000,0,-6.586166,-8.529285
-0.490000,-0.220000,0,-291.770445,-8.414735
-0.490000,-0.210000,0,-296.153005,-8.276940
-0.490000,-0.200000,0,-300.461538,-8.115059
-0.490000,-0.190000,0,-304.682927,-7.928361
-0.490000,-0.180000,0,-308.803653,-7.716245
-0.490000,-0.170000,0,-312.809873,-7.478255
-0.490000,-0.160000,0,-316.687500,-7.214104
-0.490000,-0.150000,0,-320.422301,-6.923683
-0.490000,-0.140000,0,-324.000000,-6.607081
-0.490000,-0.130000,0,-327.406389,-6.264596
-0.490000,-0.120000,0,-330.627451,-5.896747
-0.490000,-0.110000,0,-333.649485,-5.504282
-0.490000,-0.100000,0,-336.459235,-5.088181
-0.490000,-0.090000,0,-339.044025,-4.649661
-0.490000,-0.080000,0,-341.391892,-4.190169
-0.490000,-0.070000,0,-343.491713,-3.711377
-0.490000,-0.060000,0,-345.333333,-3.215169
