x,y,z,gradx,grady
-0.490000,-0.490000,0,0.500065,-0.312370
-0.490000,-0.480000,0,0.493495,-0.318739
-0.490000,-0.470000,0,0.486519,-0.325091
-0.490000,-0.460000,0,0.479120,-0.331408
-0.490000,-0.450000,0,0.471285,-0.337668
-0.490000,-0.440000,0,0.462996,-0.343851
-0.490000,-0.430000,0,0.454239,-0.349930
-0.490000,-0.420000,0,0.445002,-0.355881
-0.490000,-0.410000,0,0.435269,-0.361674
-0.490000,-0.400000,0,0.425030,-0.367280
-0.490000,-0.390000,0,0.414274,-0.372664
-0.490000,-0.380000,0,0.402991,-0.377791
-0.490000,-0.370000,0,0.391175,-0.382625
-0.490000,-0.360000,0,0.378820,-0.387125
-0.490000,-0.350000,0,0.365924,-0.391248
-0.490000,-0.340000,0,0.352487,-0.394951
-0.490000,-0.330000,0,0.338513,-0.398187
-0.490000,-0.320000,0,0.324009,-0.400907
-0.490000,-0.310000,0,0.308985,-0.403063
-0.490000,-0.300000,0,0.293457,-0.404602
-0.490000,-0.290000,0,0.277444,-0.405472
-0.490000,-0.280000,0,0.260970,-0.405619
-0.490000,-0.270000,0,0.244066,-0.404990
-0.490000,-0.260000,0,0.226768,-0.403531
-0.490000,-0.250000,0,0.209116,-0.401191
-0.490000,-0.240000,0,0.191157,-0.397917
-0.490000,-0.230000,0,0.172946,-0.393659
-0.490000,-0.220000,0,0.154542,-0.388372
-0.490000,-0.210000,0,0.136011,-0.382013
-0.490000,-0.200000,0,0.117425,-0.374541
-0.490000,-0.190000,0,0.098862,-0.365924
-0.490000,-0.180000,0,0.080407,-0.356134
-0.490000,-0.170000,0,0.062147,-0.345150
-0.490000,-0.160000,0,0.044176,-0.332959
-0.490000,-0.150000,0,0.026592,-0.319555
-0.490000,-0.140000,0,0.009496,-0.304942
-0.490000,-0.130000,0,-0.007012,-0.289135
-0.490000,-0.120000,0,-0.022826,-0.272158
-0.490000,-0.110000,0,-0.037845,-0.254044
-0.490000,-0.100000,0,-0.051965,-0.234839
-0.490000,-0.090000,0,-0.065087,-0.214600
-0.490000,-0.080000,0,-0.077118,-0.193392
-0.490000,-0.070000,0,-0.087966,-0.171294
-0.490000,-0.060000,0,-0.097549,-0.148392
-0.490000,-0.050000,0,-0.105793,-0.124783
-0.490000,-0.040000,0,-0.112631,-0.100570
-0.490000,-0.030000,0,-0.118009,-0.075866
-0.490000,-0.020000,0,-0.121882,-0.050788
-0.490000,-0.010000,0,-0.124219,-0.025457
-0.490000,0.000000,0,-0.125000,0.000000
-0.490000,0.010000,0,-0.124219,0.025457
-0.490000,0.020000,0,-0.121882,0.050788
-0.490000,0.030000,0,-0.118009,0.075866
-0.490000,0.040000,0,-0.112631,0.100570
-0.490000,0.050000,0,-0.105793,0.124783
-0.490000,0.060000,0,-0.097549,0.148392
-0.490000,0.070000,0,-0.087966,0.171294
-0.490000,0.080000,0,-0.077118,0.193392
-0.490000,0.090000,0,-0.065087,0.214600
-0.490000,0.100000,0,-0.051965,0.234839
-0.490000,0.110000,0,-0.037845,0.254044
-0.490000,0.120000,0,-0.022826,0.272158
-0.490000,0.130000,0,-0.007012,0.289135
-0.490000,0.140000,0,0.009496,0.304942
-0.490000,0.150000,0,0.026592,0.319555
-0.490000,0.160000,0,0.044176,0.332959
-0.490000,0.170000,0,0.062147,0.345150
-0.490000,0.180000,0,0.080407,0.356134
-0.490000,0.190000,0,0.098862,0.365924
-0.490000,0.200000,0,0.117425,0.374541
-0.490000,0.210000,0,0.136011,0.382013
-0.490000,0.220000,0,0.154542,0.388372
-0.490000,0.230000,0,0.172946,0.393659
-0.490000,0.240000,0,0.191157,0.397917
-0.490000,0.250000,0,0.209116,0.401191
-0.490000,0.260000,0,0.226768,0.403531
-0.490000,0.270000,0,0.244066,0.404990
-0.490000,0.280000,0,0.260970,0.405619
-0.490000,0.290000,0,0.277444,0.405472
-0.490000,0.300000,0,0.293457,0.404602
-0.490000,0.310000,0,0.308985,0.403063
-0.490000,0.320000,0,0.324009,0.400907
-0.490000,0.330000,0,0.338513,0.398187
-0.490000,0.340000,0,0.352487,0.394951
-0.490000,0.350000,0,0.365924,0.391248
-0.490000,0.360000,0,0.378820,0.387125
-0.490000,0.370000,0,0.391175,0.382625
-0.490000,0.380000,0,0.402991,0.377791
-0.490000,0.390000,0,0.414274,0.372664
-0.490000,0.400000,0,0.425030,0.367280
-0.490000,0.410000,0,0.435269,0.361674
-0.490000,0.420000,0,0.445002,0.355881
-0.490000,0.430000,0,0.454239,0.349930
-0.490000,0.440000,0,0.462996,0.343851
-0.490000,0.450000,0,0.471285,0.337668
-0.490000,0.460000,0,0.479120,0.331408
-0.490000,0.470000,0,0.486519,0.325091
-0.490000,0.480000,0,0.493495,0.318739
-0.490000,0.490000,0,0.500065,0.312370
-0.480000,-0.490000,0,0.506640,-0.318745
-0.480000,-0.480000,0,0.500071,-0.325521
-0.480000,-0.470000,0,0.493077,-0.332296
-0.480000,-0.460000,0,0.485642,-0.339053
-0.480000,-0.450000,0,0.477748,-0.345770
-0.480000,-0.440000,0,0.469377,-0.352424
-0.480000,-0.430000,0,0.460514,-0.358991
-0.480000,-0.420000,0,0.451141,-0.365445
-0.480000,-0.410000,0,0.441243,-0.371754
-0.480000,-0.400000,0,0.430806,-0.377888
-0.480000,-0.390000,0,0.419817,-0.383811
-0.480000,-0.380000,0,0.408264,-0.389488
-0.480000,-0.370000,0,0.396138,-0.394877
-0.480000,-0.360000,0,0.383431,-0.399938
-0.480000,-0.350000,0,0.370138,-0.404624
-0.480000,-0.340000,0,0.356257,-0.408889
-0.480000,-0.330000,0,0.341790,-0.412683
-0.480000,-0.320000,0,0.326741,-0.415954
-0.480000,-0.310000,0,0.311120,-0.418647
-0.480000,-0.300000,0,0.294939,-0.420707
-0.480000,-0.290000,0,0.278218,-0.422076
-0.480000,-0.280000,0,0.260981,-0.422695
-0.480000,-0.270000,0,0.243256,-0.422506
-0.480000,-0.260000,0,0.225081,-0.421448
-0.480000,-0.250000,0,0.206496,-0.419463
-0.480000,-0.240000,0,0.187551,-0.416493
-0.480000,-0.230000,0,0.168301,-0.412482
-0.480000,-0.220000,0,0.148810,-0.407377
-0.480000,-0.210000,0,0.129148,-0.401127
-0.480000,-0.200000,0,0.109390,-0.393689
-0.480000,-0.190000,0,0.089622,-0.385021
-0.480000,-0.180000,0,0.069934,-0.375090
-0.480000,-0.170000,0,0.050421,-0.363870
-0.480000,-0.160000,0,0.031186,-0.351343
-0.480000,-0.150000,0,0.012335,-0.337500
-0.480000,-0.140000,0,-0.006021,-0.322343
-0.480000,-0.130000,0,-0.023770,-0.305882
-0.480000,-0.120000,0,-0.040797,-0.288143
-0.480000,-0.110000,0,-0.056987,-0.269159
-0.480000,-0.100000,0,-0.072227,-0.248979
-0.480000,-0.090000,0,-0.086406,-0.227661
-0.480000,-0.080000,0,-0.099417,-0.205278
-0.480000,-0.070000,0,-0.111160,-0.181913
-0.480000,-0.060000,0,-0.121543,-0.157660
-0.480000,-0.050000,0,-0.130480,-0.132626
-0.480000,-0.040000,0,-0.137897,-0.106925
-0.480000,-0.030000,0,-0.143733,-0.080679
-0.480000,-0.020000,0,-0.147938,-0.054019
-0.480000,-0.010000,0,-0.150476,-0.027080
-0.480000,0.000000,0,-0.151324,0.000000
-0.480000,0.010000,0,-0.150476,0.027080
-0.480000,0.020000,0,-0.147938,0.054019
-0.480000,0.030000,0,-0.143733,0.080679
-0.480000,0.040000,0,-0.137897,0.106925
-0.480000,0.050000,0,-0.130480,0.132626
-0.480000,0.060000,0,-0.121543,0.157660
-0.480000,0.070000,0,-0.111160,0.181913
-0.480000,0.080000,0,-0.099417,0.205278
-0.480000,0.090000,0,-0.086406,0.227661
-0.480000,0.100000,0,-0.072227,0.248979
-0.480000,0.110000,0,-0.056987,0.269159
-0.480000,0.120000,0,-0.040797,0.288143
-0.480000,0.130000,0,-0.023770,0.305882
-0.480000,0.140000,0,-0.006021,0.322343
-0.480000,0.150000,0,0.012335,0.337500
-0.480000,0.160000,0,0.031186,0.351343
-0.480000,0.170000,0,0.050421,0.363870
-0.480000,0.180000,0,0.069934,0.375090
-0.480000,0.190000,0,0.089622,0.385021
-0.480000,0.200000,0,0.109390,0.393689
-0.480000,0.210000,0,0.129148,0.401127
-0.480000,0.220000,0,0.148810,0.407377
-0.480000,0.230000,0,0.168301,0.412482
-0.480000,0.240000,0,0.187551,0.416493
-0.480000,0.250000,0,0.206496,0.419463
-0.480000,0.260000,0,0.225081,0.421448
-0.480000,0.270000,0,0.243256,0.422506
-0.480000,0.280000,0,0.260981,0.422695
-0.480000,0.290000,0,0.278218,0.422076
-0.480000,0.300000,0,0.294939,0.420707
-0.480000,0.310000,0,0.311120,0.418647
-0.480000,0.320000,0,0.326741,0.415954
-0.480000,0.330000,0,0.341790,0.412683
-0.480000,0.340000,0,0.356257,0.408889
-0.480000,0.350000,0,0.370138,0.404624
-0.480000,0.360000,0,0.383431,0.399938
-0.480000,0.370000,0,0.396138,0.394877
-0.480000,0.380000,0,0.408264,0.389488
-0.480000,0.390000,0,0.419817,0.383811
-0.480000,0.400000,0,0.430806,0.377888
-0.480000,0.410000,0,0.441243,0.371754
-0.480000,0.420000,0,0.451141,0.365445
-0.480000,0.430000,0,0.460514,0.358991
-0.480000,0.440000,0,0.469377,0.352424
-0.480000,0.450000,0,0.477748,0.345770
-0.480000,0.460000,0,0.485642,0.339053
-0.480000,0.470000,0,0.493077,0.332296
-0.480000,0.480000,0,0.500071,0.325521
-0.480000,0.490000,0,0.506640,0.318745
-0.470000,-0.490000,0,0.513622,-0.325103
-0.470000,-0.480000,0,0.507070,-0.332303
-0.470000,-0.470000,0,0.500077,-0.339520
-0.470000,-0.460000,0,0.492622,-0.346737
-0.470000,-0.450000,0,0.484687,-0.353933
-0.470000,-0.440000,0,0.476252,-0.361085
-0.470000,-0.430000,0,0.467298,-0.368167
-0.470000,-0.420000,0,0.457805,-0.375152
-0.470000,-0.410000,0,0.447756,-0.382009
-0.470000,-0.400000,0,0.437135,-0.388705
-0.470000,-0.390000,0,0.425925,-0.395206
-0.470000,-0.380000,0,0.414111,-0.401470
-0.470000,-0.370000,0,0.401683,-0.407458
-0.470000,-0.360000,0,0.388628,-0.413125
-0.470000,-0.350000,0,0.374941,-0.418422
-0.470000,-0.340000,0,0.360614,-0.423299
-0.470000,-0.330000,0,0.345649,-0.427703
-0.470000,-0.320000,0,0.330047,-0.431578
-0.470000,-0.310000,0,0.313814,-0.434865
-0.470000,-0.300000,0,0.296963,-0.437503
-0.470000,-0.290000,0,0.279511,-0.439430
-0.470000,-0.280000,0,0.261479,-0.440581
-0.470000,-0.270000,0,0.242898,-0.440890
-0.470000,-0.260000,0,0.223803,-0.440292
-0.470000,-0.250000,0,0.204237,-0.438721
-0.470000,-0.240000,0,0.184250,-0.436111
-0.470000,-0.230000,0,0.163899,-0.432400
-0.470000,-0.220000,0,0.143251,-0.427526
-0.470000,-0.210000,0,0.122380,-0.421432
-0.470000,-0.200000,0,0.101368,-0.414067
-0.470000,-0.190000,0,0.080304,-0.405381
-0.470000,-0.180000,0,0.059286,-0.395336
-0.470000,-0.170000,0,0.038418,-0.383898
-0.470000,-0.160000,0,0.017812,-0.371045
-0.470000,-0.150000,0,-0.002416,-0.356762
-0.470000,-0.140000,0,-0.022145,-0.341047
