x,y,xVel,yVel
0.004201,0.001972,-4449.381605,-5358.117202
0.003915,0.003992,93.554606,-4796.215724
0.004558,0.000988,-6276.490458,-2854.449934
0.001676,0.008841,1724.382106,-677.998546
0.001389,0.007770,2259.122814,-834.116996
0.002387,0.008144,1753.547671,-1124.145206
0.001824,0.012567,892.316625,-264.439310
0.004761,0.014581,515.199408,-376.247820
0.003179,0.013586,690.973425,-341.779035
0.000708,0.018035,459.548929,-36.098364
0.000082,0.016214,570.998834,-5.735441
0.000686,0.019021,413.485462,-29.834836
0.000783,0.022005,309.108937,-22.001609
0.000649,0.020544,354.839489,-22.408352
0.004995,0.021091,285.883062,-143.193113
0.002565,0.029196,172.455666,-30.445567
0.003063,0.026480,206.019598,-48.193526
0.003188,0.027621,189.422137,-44.195264
0.002468,0.034864,122.067315,-17.297486
0.001463,0.033857,130.627503,-11.263811
0.002634,0.033850,129.059838,-20.127495
0.002001,0.039458,96.104674,-9.722425
0.001417,0.036762,110.997394,-8.528329
0.004039,0.039595,93.241906,-19.117864
0.000349,0.044747,75.401641,-1.167708
0.002630,0.040430,91.108415,-11.838190
0.000961,0.043316,80.327135,-3.544046
0.004451,0.046744,67.308933,-12.839963
0.000321,0.045100,74.234377,-1.049193
0.002289,0.045315,72.989751,-7.340432
0.001191,0.054853,50.282099,-2.163535
0.004511,0.054255,50.413872,-8.358035
0.001333,0.052699,54.408326,-2.729609
0.001876,0.058801,43.750611,-2.762606
0.002563,0.058339,44.319325,-3.857201
0.002658,0.055196,49.393318,-4.719949
0.002188,0.064659,36.255188,-2.422820
0.004654,0.063605,36.987361,-5.368405
0.001421,0.063693,37.420149,-1.648759
0.003200,0.066770,33.914436,-3.210076
0.003439,0.065830,34.831323,-3.597125
0.002201,0.069400,31.549738,-1.971010
0.004146,0.071652,29.425347,-3.358680
0.001145,0.074467,27.530696,-0.831327
0.001752,0.073433,28.269189,-1.325659
0.004782,0.077943,24.913663,-3.007207
0.003287,0.079293,24.234484,-1.970860
0.002198,0.079620,24.107823,-1.304319
0.001992,0.084074,21.685468,-1.004571
0.003421,0.084555,21.377661,-1.692192
0.002412,0.081079,23.257254,-1.355453
0.004751,0.089601,19.027089,-1.970416
0.000738,0.089405,19.261855,-0.309888
0.003205,0.087160,20.165156,-1.448377
0.003098,0.091405,18.391723,-1.214196
0.003930,0.091537,18.303046,-1.531515
0.002235,0.091131,18.529336,-0.884947
0.000938,0.096381,16.642973,-0.314131
0.002782,0.097083,16.375938,-0.910702
0.000848,0.099534,15.637480,-0.257963
0.000516,0.100630,15.311493,-0.151859
0.002477,0.103802,14.397437,-0.663696
0.004924,0.104675,14.099515,-1.282239
0.003422,0.106916,13.581926,-0.838326
0.003749,0.106843,13.591603,-0.919833
0.001471,0.106161,13.801746,-0.368646
0.002922,0.111222,12.600684,-0.636348
0.000762,0.113661,12.109452,-0.155660
0.000627,0.113967,12.047577,-0.127139
0.000821,0.118725,11.140011,-0.147073
0.000373,0.119751,10.959811,-0.065100
0.000263,0.117608,11.344571,-0.048437
0.000881,0.121200,10.709746,-0.148445
0.003989,0.123663,10.278098,-0.631479
0.003283,0.124837,10.105137,-0.505519
0.003197,0.128799,9.525384,-0.448368
0.000467,0.125675,9.996833,-0.070641
0.002601,0.125391,10.027892,-0.395454
0.000350,0.131023,9.237458,-0.046618
0.002307,0.134098,8.834097,-0.286854
0.002867,0.133778,8.869978,-0.358869
0.000260,0.135789,8.634991,-0.031116
0.005000,0.136022,8.574491,-0.594417
0.004450,0.135627,8.628203,-0.533929
0.004989,0.140270,8.094725,-0.540928
0.004353,0.140362,8.091745,-0.471302
0.000021,0.144615,7.672366,-0.002064
0.002969,0.145902,7.537687,-0.286587
0.000816,0.146958,7.444836,-0.077094
0.004565,0.149098,7.228583,-0.412421
0.001795,0.152762,6.925075,-0.151054
0.002897,0.152263,6.962961,-0.246034
0.003437,0.150498,7.112249,-0.302166
0.002654,0.158786,6.444294,-0.198768
0.001521,0.159961,6.360631,-0.111497
0.002885,0.159388,6.398653,-0.213596
0.003739,0.163145,6.126804,-0.258053
0.000177,0.163739,6.094811,-0.012103
0.004166,0.164627,6.024022,-0.279771
0.004366,0.169155,5.731818,-0.270275
0.004897,0.168719,5.756123,-0.305381
0.004517,0.169918,5.684323,-0.275819
0.003334,0.172486,5.536110,-0.194783
0.000820,0.174150,5.445556,-0.046565
0.004445,0.170385,5.656347,-0.269205
0.003249,0.176240,5.324347,-0.177909
0.003147,0.176146,5.329824,-0.172655
0.003503,0.176584,5.304788,-0.190711
0.001644,0.181157,5.069546,-0.082938
0.000371,0.183165,4.970944,-0.018102
0.001118,0.183256,4.966095,-0.054509
0.002553,0.189857,4.659114,-0.111894
0.001400,0.187731,4.755484,-0.063484
0.003596,0.185566,4.851142,-0.168717
0.002357,0.192963,4.526707,-0.098403
0.004722,0.192255,4.550905,-0.199093
0.001682,0.194238,4.474873,-0.068836
0.002173,0.195016,4.442651,-0.087857
0.001725,0.197992,4.325563,-0.066654
0.004166,0.196169,4.392610,-0.165416
0.003377,0.202415,4.158004,-0.122105
0.002410,0.201525,4.191884,-0.088302
0.003560,0.200913,4.212505,-0.131622
0.003109,0.205204,4.059747,-0.107894
0.002070,0.208480,3.950121,-0.068517
0.003370,0.208188,3.958101,-0.111973
0.001736,0.210923,3.870969,-0.055480
0.003046,0.213136,3.799989,-0.094327
0.003654,0.211642,3.845799,-0.115554
0.003702,0.216011,3.711860,-0.110128
0.004605,0.218424,3.639876,-0.132442
0.003266,0.216286,3.704322,-0.096785
0.002662,0.220438,3.585514,-0.074538
0.001302,0.224387,3.478875,-0.034584
0.003431,0.220469,3.583770,-0.095994
0.000556,0.226808,3.415860,-0.014306
0.002883,0.227966,3.384978,-0.072994
0.003333,0.226444,3.423397,-0.086071
0.003879,0.231442,3.297959,-0.093811
0.001648,0.230949,3.311860,-0.040137
0.004922,0.230018,3.331206,-0.121217
0.004137,0.236657,3.175796,-0.093579
0.000941,0.237182,3.166279,-0.021157
0.004793,0.239595,3.109850,-0.104464
0.003824,0.243495,3.028066,-0.079432
0.000606,0.243429,3.031272,-0.012597
0.001919,0.243871,3.021674,-0.039691
0.004715,0.249581,2.905481,-0.090924
0.004310,0.246018,2.976046,-0.086774
0.003968,0.247740,2.942103,-0.078255
0.001486,0.254525,2.815192,-0.027043
0.004548,0.254370,2.816025,-0.082849
0.002491,0.252881,2.844944,-0.046197
0.000814,0.256370,2.782155,-0.014488
0.004323,0.257462,2.760985,-0.075947
0.002318,0.259245,2.731348,-0.039911
0.002480,0.261455,2.693710,-0.041618
0.000902,0.263421,2.661601,-0.014805
0.003638,0.260695,2.705826,-0.061572
0.003016,0.267462,2.596047,-0.047270
0.004191,0.268621,2.577272,-0.064829
0.000891,0.266110,2.618141,-0.014185
0.002493,0.270606,2.547882,-0.037730
0.000691,0.271802,2.530378,-0.010327
0.001624,0.274659,2.488184,-0.023513
0.004542,0.278110,2.437800,-0.063318
0.004184,0.279091,2.424456,-0.057716
0.002480,0.276675,2.459057,-0.035128
0.001972,0.283294,2.368757,-0.026013
0.003044,0.281295,2.395030,-0.041024
0.000756,0.280363,2.408276,-0.010293
0.000539,0.288236,2.305469,-0.006755
0.001818,0.286441,2.327963,-0.023204
0.001657,0.285456,2.340644,-0.021369
0.002137,0.294672,2.227204,-0.025049
0.002918,0.291327,2.266844,-0.035396
0.003294,0.293809,2.236991,-0.038950
0.002437,0.295786,2.214141,-0.028249
0.004415,0.298128,2.186549,-0.049965
0.002589,0.296039,2.211170,-0.029927
0.002788,0.302131,2.142819,-0.030320
0.004150,0.301972,2.144039,-0.045193
0.001222,0.301630,2.148620,-0.013354
0.003647,0.308193,2.078565,-0.037363
0.004924,0.306691,2.093502,-0.051184
0.004488,0.305680,2.104262,-0.047116
0.002054,0.310027,2.060396,-0.020676
0.003916,0.313872,2.021891,-0.037985
0.001468,0.310573,2.055012,-0.014705
0.004328,0.318605,1.976881,-0.040129
0.000246,0.317246,1.990388,-0.002310
0.004932,0.318540,1.977244,-0.045759
0.001054,0.322369,1.943343,-0.009442
0.004326,0.320470,1.959756,-0.039417
0.000498,0.321914,1.947462,-0.004477
0.001509,0.328286,1.891746,-0.012793
0.004045,0.325659,1.913726,-0.035129
0.000258,0.325267,1.917784,-0.002245
0.002289,0.333904,1.845197,-0.018441
0.003460,0.332213,1.858680,-0.028308
0.000596,0.332948,1.853112,-0.004841
0.002893,0.337649,1.815417,-0.022544
0.002975,0.336810,1.821967,-0.023357
0.001521,0.339444,1.801757,-0.011669
0.002383,0.340849,1.790932,-0.018051
0.003049,0.342629,1.777440,-0.022735
0.003095,0.342981,1.774809,-0.023006
0.001168,0.349149,1.730424,-0.008234
0.000350,0.345494,1.756633,-0.002549
0.004619,0.345848,1.753394,-0.033483
0.002409,0.351127,1.716467,-0.016690
0.004134,0.351454,1.713874,-0.028559
0.001786,0.354391,1.694241,-0.012037
