c,t,x,y,xVel,yVel
0,0.000000,0.525621,0.029129,0.000000,0.000000
1,0.000000,0.546900,0.078142,0.000000,0.000000
2,0.000000,0.517521,0.123680,0.000000,0.000000
3,0.000000,0.524282,0.157601,0.000000,0.000000
4,0.000000,0.523866,0.222037,0.000000,0.000000
5,0.000000,0.544424,0.275224,0.000000,0.000000
6,0.000000,0.518317,0.307016,0.000000,0.000000
7,0.000000,0.528861,0.351776,0.000000,0.000000
8,0.000000,0.510360,0.404693,0.000000,0.000000
9,0.000000,0.527118,0.471907,0.000000,0.000000
10,0.000000,0.533065,0.547528,0.000000,0.000000
11,0.000000,0.503324,0.594428,0.000000,0.000000
12,0.000000,0.532492,0.611949,0.000000,0.000000
13,0.000000,0.538020,0.686231,0.000000,0.000000
14,0.000000,0.516264,0.710097,0.000000,0.000000
15,0.000000,0.547910,0.754521,0.000000,0.000000
16,0.000000,0.534290,0.822838,0.000000,0.000000
17,0.000000,0.539974,0.851699,0.000000,0.000000
18,0.000000,0.536380,0.912059,0.000000,0.000000
19,0.000000,0.514436,0.989177,0.000000,0.000000
20,0.000000,0.571867,0.022242,0.000000,0.000000
21,0.000000,0.558426,0.075566,0.000000,0.000000
22,0.000000,0.573127,0.108057,0.000000,0.000000
23,0.000000,0.561508,0.196078,0.000000,0.000000
24,0.000000,0.557489,0.212342,0.000000,0.000000
25,0.000000,0.575507,0.260252,0.000000,0.000000
26,0.000000,0.568750,0.344541,0.000000,0.000000
27,0.000000,0.569009,0.384515,0.000000,0.000000
28,0.000000,0.571044,0.420895,0.000000,0.000000
29,0.000000,0.577772,0.485331,0.000000,0.000000
30,0.000000,0.556406,0.507198,0.000000,0.000000
31,0.000000,0.582569,0.565625,0.000000,0.000000
32,0.000000,0.553160,0.638752,0.000000,0.000000
33,0.000000,0.585700,0.650260,0.000000,0.000000
34,0.000000,0.554471,0.707749,0.000000,0.000000
35,0.000000,0.583340,0.783256,0.000000,0.000000
36,0.000000,0.566730,0.802006,0.000000,0.000000
37,0.000000,0.572958,0.871016,0.000000,0.000000
