x,y,rho
0.000000,0.000000,0,0.000000
0.000000,0.050000,1,0.000000
0.000000,0.100000,2,0.000000
0.000000,0.150000,3,0.000000
0.000000,0.200000,4,0.000000
0.000000,0.250000,5,0.000000
0.000000,0.300000,6,0.000000
0.000000,0.350000,7,0.000000
0.000000,0.400000,8,0.000000
0.000000,0.450000,9,0.000000
0.000000,0.500000,10,0.000000
0.000000,0.550000,11,0.000000
0.000000,0.600000,12,0.000000
0.000000,0.650000,13,0.000000
0.000000,0.700000,14,0.000000
0.000000,0.750000,15,0.000000
0.000000,0.800000,16,0.000000
0.000000,0.850000,17,0.000000
0.000000,0.900000,18,0.000000
0.000000,0.950000,19,0.000000
0.000000,1.000000,20,0.000000
0.050000,0.000000,21,2264.793790
0.050000,0.050000,22,3217.664588
0.050000,0.100000,23,-2419.589046
0.050000,0.150000,24,-746.834915
0.050000,0.200000,25,0.000000
0.050000,0.250000,26,5356.213237
0.050000,0.300000,27,0.000000
0.050000,0.350000,28,-1436.181393
0.050000,0.400000,29,-2961.676426
0.050000,0.450000,30,0.000000
0.050000,0.500000,31,-2253.944758
0.050000,0.550000,32,901.118661
0.050000,0.600000,33,194.297521
0.050000,0.650000,34,-1659.865725
0.050000,0.700000,35,2159.310690
0.050000,0.750000,36,-1733.482032
0.050000,0.800000,37,3352.211792
0.050000,0.850000,38,1513.778218
0.050000,0.900000,39,-3486.629434
0.050000,0.950000,40,-3495.233293
0.050000,1.000000,41,0.000000
0.100000,0.000000,42,-36.447467
0.100000,0.050000,43,254.466181
0.100000,0.100000,44,63.616545
0.100000,0.150000,45,100.282913
0.100000,0.200000,46,-3685.757253
0.100000,0.250000,47,5354.752882
0.100000,0.300000,48,1502.891122
0.100000,0.350000,49,3040.601890
0.100000,0.400000,50,-2168.254632
0.100000,0.450000,51,1493.359267
0.100000,0.500000,52,0.000000
0.100000,0.550000,53,4650.190628
0.100000,0.600000,54,0.000000
0.100000,0.650000,55,-799.652126
0.100000,0.700000,56,0.000000
0.100000,0.750000,57,-2818.719882
0.100000,0.800000,58,1743.644130
0.100000,0.850000,59,-2191.146999
0.100000,0.900000,60,451.550042
0.100000,0.950000,61,3254.431471
0.100000,1.000000,62,0.000000
0.150000,0.000000,63,0.000000
0.150000,0.050000,64,635.439953
0.150000,0.100000,65,2275.319460
0.150000,0.150000,66,-2141.907691
0.150000,0.200000,67,-2780.881665
0.150000,0.250000,68,2347.763105
0.150000,0.300000,69,0.000000
0.150000,0.350000,70,-3231.254557
0.150000,0.400000,71,2382.384415
0.150000,0.450000,72,0.000000
0.150000,0.500000,73,3739.241108
0.150000,0.550000,74,-3252.156183
0.150000,0.600000,75,-3682.779079
0.150000,0.650000,76,0.000000
0.150000,0.700000,77,6044.595252
0.150000,0.750000,78,0.000000
0.150000,0.800000,79,-31.933274
0.150000,0.850000,80,3384.553019
0.150000,0.900000,81,-2694.948006
0.150000,0.950000,82,0.000000
0.150000,1.000000,83,2557.561222
0.200000,0.000000,84,0.000000
0.200000,0.050000,85,0.000000
0.200000,0.100000,86,0.000000
0.200000,0.150000,87,-1565.638802
0.200000,0.200000,88,3020.910225
0.200000,0.250000,89,-313.620336
0.200000,0.300000,90,0.000000
0.200000,0.350000,91,3835.473034
0.200000,0.400000,92,1180.509933
0.200000,0.450000,93,0.000000
0.200000,0.500000,94,-2348.204927
0.200000,0.550000,95,0.000000
0.200000,0.600000,96,-4871.775141
0.200000,0.650000,97,1209.056659
0.200000,0.700000,98,0.000000
0.200000,0.750000,99,-1759.663894
0.200000,0.800000,100,-3093.755561
0.200000,0.850000,101,6336.020257
0.200000,0.900000,102,-1240.456360
0.200000,0.950000,103,0.000000
0.200000,1.000000,104,-2128.866362
0.250000,0.000000,105,247997.203012
0.250000,0.050000,106,-183954.655064
0.250000,0.100000,107,-330192.051111
0.250000,0.150000,108,515079.378686
0.250000,0.200000,109,201936.938609
0.250000,0.250000,110,-317194.572457
0.250000,0.300000,111,344476.309790
0.250000,0.350000,112,-400024.895941
0.250000,0.400000,113,-537905.938101
0.250000,0.450000,114,-298886.841051
0.250000,0.500000,115,-269719.472703
0.250000,0.550000,116,331167.954335
0.250000,0.600000,117,77025.054056
0.250000,0.650000,118,17887.313552
0.250000,0.700000,119,-582991.438761
0.250000,0.750000,120,-203445.629054
0.250000,0.800000,121,128599.627989
0.250000,0.850000,122,-85591.008353
0.250000,0.900000,123,171055.933556
0.250000,0.950000,124,827356.504610
0.250000,1.000000,125,39317.613627
